ha001:011	5b	@	-	joutuu␣
ha001:011	5b	@	-	syynalaiseksi
ha001:011	-	(,)	-	,␣
ha001:011	-	(@)	-	tuo
ha001:011	-	(,)	-	,␣
ha001:011	6	@	-	jolla␣
ha001:011	pers%7	@	-	oma␣
ha001:011	7	@	-	voimansa␣
ha001:011	-	(@)	-	on␣
ha001:011	8b	@	-	jumalana
ha001:011	8a	%case	ESS	
ha001:011	-	(.)	-	.␣
ha001:012	ha001:012	ha001:012	VERSE	Hab␣1:12␣
ha001:012	1a 1b	@	-	Etkö␣
ha001:012	2	@	-	sinä␣
ha001:012	-	(@)	-	ole␣
ha001:012	3b	@	-	ikiajoista␣
ha001:012	3a	@	-	asti␣
ha001:012	4	@	-	Herra
ha001:012	-	(,)	-	,␣
ha001:012	pers%5	@	-	minun␣
ha001:012	6	@	-	pyhä␣
ha001:012	5	@	-	Jumalani
ha001:012	-	(?)	-	?␣
ha001:012	8	(@)	-	Me␣
ha001:012	7	@	-	emme␣
ha001:012	8	@	-	kuole
ha001:012	-	(!)	-	!␣
ha001:012	11	(@)	-	Sinä
ha001:012	-	(,)	-	,␣
ha001:012	9	@	-	Herra
ha001:012	-	(,)	-	,␣
ha001:012	11	(@)	-	olet␣
ha001:012	11	@	-	pannut␣
ha001:012	pers%11	@	-	sen␣
ha001:012	10b	@	-	tuomioksi
ha001:012	10a	%case	TRA	
ha001:012	(12a)	-	UNTRANSLATED	
ha001:012	-	(;)	-	;␣
ha001:012	14	(@)	-	sinä
ha001:012	-	(,)	-	,␣
ha001:012	12b	@	-	kallio
ha001:012	-	(,)	-	,␣
ha001:012	14	(@)	-	olet␣
ha001:012	14	@	-	asettanut␣
ha001:012	pers%14	@	-	sen␣
ha001:012	13b	@	-	kuritukseksi
ha001:012	13a	%case	TRA	
ha001:012	-	(.)	-	.␣
ha001:013	ha001:013	ha001:013	VERSE	Hab␣1:13␣
ha001:013	-	(@)	-	Sinun␣
ha001:013	2	@	-	silmäsi␣
ha001:013	-	(@)	-	ovat␣
ha001:013	1	@	-	puhtaat
ha001:013	-	(,)	-	,␣
ha001:013	3a	@	-	niin␣
ha001:013	3a	@	-	ettet␣
ha001:013	3b	(@)	-	voi␣
ha001:013	3b	@	-	katsoa␣
ha001:013	4	@	-	pahaa␣
ha001:013	(5a) 8	@	-	etkä␣
ha001:013	9	@	-	saata␣
ha001:013	5b	@	-	katsella␣
ha001:013	7	@	-	turmiota
ha001:013	6	%case	PTV	
ha001:013	-	(.)	-	.␣
