1t001:014	14	@	-	Kristuksessa␣
1t001:014	15a	@	-	Jeesuksessa
1t001:014	13	%case	LOC	
1t001:014	15b	.	-	.␣
1t001:015	1t001:015	1t001:015	VERSE	1Tm␣1:15␣
1t001:015	1	@	-	Varma␣
1t001:015	-	(@)	-	on␣
1t001:015	2	@	-	se␣
1t001:015	3	@	-	sana␣
1t001:015	4	@	-	ja␣
1t001:015	5	@	-	kaikin␣
1t001:015	5	@	-	puolin␣
1t001:015	6	@	-	vastaanottamisen␣
1t001:015	7a	@	-	arvoinen
1t001:015	7b	,	-	,␣
1t001:015	8	@	-	että␣
1t001:015	9	@	-	Kristus␣
1t001:015	10	@	-	Jeesus␣
1t001:015	11	(@)	-	on␣
1t001:015	11	@	-	tullut␣
1t001:015	(13) 14	@	-	maailmaan␣
1t001:015	12	%case	LOC	
1t001:015	15	@	-	syntisiä␣
1t001:015	16a	@	-	pelastamaan
1t001:015	16b	,	-	,␣
1t001:015	17	@	-	joista␣
1t001:015	20a	@	-	minä␣
1t001:015	19	@	-	olen␣
1t001:015	18	@	-	suurin
1t001:015	20b	.	-	.␣
1t001:016	1t001:016	1t001:016	VERSE	1Tm␣1:16␣
1t001:016	1	@	-	Mutta␣
1t001:016	2 3	@	-	sentähden␣
1t001:016	4a	(@)	-	minä␣
1t001:016	4a	@	-	sain␣
1t001:016	4a	@	-	laupeuden
1t001:016	4b	,	-	,␣
1t001:016	5	@	-	että␣
1t001:016	11	@	-	Jeesus␣
1t001:016	10	@	-	Kristus␣
1t001:016	7	@	-	minussa␣
1t001:016	6	%case	LOC	
1t001:016	8	@	-	ennen␣
1t001:016	8	@	-	muita␣
1t001:016	9	@	-	osoittaisi␣
1t001:016	13	@	-	kaiken␣
1t001:016	(12) 14	@	-	pitkämielisyytensä
1t001:016	-	(,)	-	,␣
1t001:016	16	@	-	esikuvaksi␣
1t001:016	15	%case	TRA	
1t001:016	17	@	-	niille
1t001:016	-	(,)	-	,␣
1t001:016	17	@	-	jotka␣
1t001:016	18	@	-	tulevat␣
1t001:016	19	@	-	uskomaan␣
1t001:016	21	@	-	häneen
1t001:016	20	%case	LOC	
1t001:016	-	(,)	-	,␣
1t001:016	-	(@)	-	itsellensä␣
1t001:016	24a	@	-	iankaikkiseksi␣
1t001:016	23	@	-	elämäksi
1t001:016	22	%case	TRA	
1t001:016	24b	.	-	.␣
1t001:017	1t001:017	1t001:017	VERSE	1Tm␣1:17␣
1t001:017	2	@	-	Mutta␣
1t001:017	(4) 5a	@	-	iankaikkiselle␣
1t001:017	(1) 3	@	-	kuninkaalle
1t001:017	5b	,	-	,␣
1t001:017	6	@	-	katoamattomalle
1t001:017	-	(,)	-	,␣
1t001:017	7	@	-	näkymättömälle
1t001:017	-	(,)	-	,␣
1t001:017	8	@	-	ainoalle␣
1t001:017	9a	@	-	Jumalalle
1t001:017	9b	,	-	,␣
1t001:017	10	@	-	kunnia␣
1t001:017	11	@	-	ja␣
1t001:017	12	@	-	kirkkaus␣
1t001:017	(14) 15	@	-	aina␣
1t001:017	13	%case	?	
1t001:017	-	(@)	-	ja␣
1t001:017	(16) 17a	@	-	iankaikkisesti
1t001:017	17b	!	-	!␣
1t001:017	18a	@	-	Amen
1t001:017	18b	.	-	.␣
1t001:018	1t001:018	1t001:018	VERSE	1Tm␣1:18␣
1t001:018	1	@	-	Tämän␣
1t001:018	(2) 3	@	-	käskyn␣
1t001:018	4	(@)	-	minä␣
1t001:018	4	@	-	annan␣
1t001:018	5a	@	-	sinun␣
1t001:018	4	@	-	toimitettavaksesi
1t001:018	-	(,)	-	,␣
1t001:018	6	@	-	poikani␣
1t001:018	7a	@	-	Timoteus
1t001:018	-	(,)	-	,␣
1t001:018	10	@	-	aikaisempien
1t001:018	-	(,)	-	,␣
1t001:018	12	@	-	sinusta␣
1t001:018	11	%case	LOC	
1t001:018	13a (9)	(@)	-	lausuttujen␣
1t001:018	13a (9)	@	-	ennustusten␣
1t001:018	8	@	-	mukaisesti
1t001:018	13b	,	-	,␣
1t001:018	14	@	-	että␣
1t001:018	17	@	-	niiden␣
1t001:018	16	@	-	nojalla␣
1t001:018	15	@	-	taistelisit␣
1t001:018	19	@	-	jalon␣
1t001:018	(18) 20	@	-	taistelun
1t001:018	-	(,)	-	,␣
1t001:019	1t001:019	1t001:019	VERSE	1Tm␣1:19␣
1t001:019	1	@	-	säilyttäen␣
1t001:019	2	@	-	uskon␣
1t001:019	3	@	-	ja␣
1t001:019	4	@	-	hyvän␣
1t001:019	5a	@	-	omantunnon
1t001:019	5b	,	-	,␣
1t001:019	6	@	-	jonka␣
1t001:019	7	@	-	eräät␣
1t001:019	8	(@)	-	ovat␣
1t001:019	8	@	-	hyljänneet␣
1t001:019	-	(@)	-	ja␣
1t001:019	(10) 11	@	-	uskossaan␣
1t001:019	9	%case	LOC	
1t001:019	12a	@	-	haaksirikkoon␣
1t001:019	12a	@	-	joutuneet
