es001:009	5	@	-	pidot␣
es001:009	10b	@	-	kuningas␣
es001:009	10a 9	%case	NOM	
es001:009	11	@	-	Ahasveroksen␣
es001:009	(8a) 8b	@	-	kuninkaalliseen␣
es001:009	7	@	-	palatsiin
es001:009	-	(.)	-	.␣
es001:010	es001:010	es001:010	VERSE	Est␣1:10␣
es001:010	(2a) 2b	@	-	Seitsemäntenä␣
es001:010	1b	@	-	päivänä
es001:010	1a	%case	ESS	
es001:010	-	(,)	-	,␣
es001:010	3a	@	-	kun␣
es001:010	(5a) 5b	@	-	kuninkaan␣
es001:010	4	@	-	sydän␣
es001:010	3b	(@)	-	oli␣
es001:010	6b	@	-	viinistä␣
es001:010	6a	%case	LOC	
es001:010	3b	@	-	iloinen
es001:010	-	(,)	-	,␣
es001:010	7	@	-	käski␣
es001:010	7	(@)	-	hän␣
es001:010	8b	@	-	Mehumanin
es001:010	8a	%case	GEN	
es001:010	-	(,)	-	,␣
es001:010	9	@	-	Bistan
es001:010	-	(,)	-	,␣
es001:010	10	@	-	Harbonan
es001:010	-	(,)	-	,␣
es001:010	11	@	-	Bigtan
es001:010	(12a)	-	UNTRANSLATED	
es001:010	-	(,)	-	,␣
es001:010	12b	@	-	Abagtan
es001:010	-	(,)	-	,␣
es001:010	13	@	-	Seetarin␣
es001:010	14a	@	-	ja␣
es001:010	14b	@	-	Karkaan
es001:010	-	(,)	-	,␣
es001:010	-	(@)	-	niiden␣
es001:010	15	@	-	seitsemän␣
es001:010	(16a) 16b	@	-	hoviherran
es001:010	-	(,)	-	,␣
es001:010	17a	@	-	jotka␣
es001:010	17b	@	-	toimittivat␣
es001:010	17b	@	-	palvelusta␣
es001:010	(20a) 20b	@	-	kuningas␣
es001:010	21	@	-	Ahasveroksen␣
es001:010	19	@	-	luona
es001:010	18	%case	?	
es001:010	-	(,)	-	,␣
es001:011	es001:011	es001:011	VERSE	Est␣1:11␣
es001:011	1b	@	-	tuoda␣
es001:011	1a	%case	LAT	
es001:011	(4a) 4b	@	-	kuningatar␣
es001:011	3	@	-	Vastin
es001:011	2	%case	GEN	
es001:011	-	(,)	-	,␣
es001:011	8	@	-	kuninkaallinen␣
es001:011	7b	@	-	kruunu␣
es001:011	7a	@	-	päässä
es001:011	-	(,)	-	,␣
es001:011	(6a) 6b	@	-	kuninkaan␣
es001:011	5a 5b	@	-	eteen
es001:011	-	(,)	-	,␣
es001:011	9a	@	-	että␣
es001:011	9b	(@)	-	hän␣
es001:011	sem%9b	@	-	saisi␣
es001:011	9b	@	-	näyttää␣
es001:011	(10a) 10b	@	-	kansoille␣
es001:011	11a	@	-	ja␣
es001:011	(11b) 11c	@	-	ruhtinaille␣
es001:011	pers%13	@	-	hänen␣
es001:011	13	@	-	kauneutensa
es001:011	12	%case	NOM.GEN	
es001:011	-	(,)	-	,␣
es001:011	14	@	-	sillä␣
es001:011	17	@	-	hän␣
es001:011	-	(@)	-	oli␣
es001:011	16	@	-	näöltään␣
es001:011	15	@	-	ihana
es001:011	-	(.)	-	.␣
es001:012	es001:012	es001:012	VERSE	Est␣1:12␣
es001:012	1a	@	-	Mutta␣
es001:012	(2a) 2b	@	-	kuningatar␣
es001:012	3	@	-	Vasti␣
es001:012	1b	@	-	kieltäytyi␣
es001:012	4b	@	-	tulemasta
es001:012	4a	%case	LOC	
es001:012	-	(,)	-	,␣
es001:012	-	(@)	-	vaikka␣
es001:012	(6a) 6b	@	-	kuningas␣
es001:012	(9a) 9b	@	-	hoviherrojen␣
es001:012	8b	@	-	kautta␣
es001:012	7 8a	%case	?	
es001:012	5b	(@)	-	oli␣
es001:012	5b	@	-	käskenyt
es001:012	5a	%case	NOM	
es001:012	-	(.)	-	.␣
es001:012	10a	@	-	Silloin␣
es001:012	(11a) 11b	@	-	kuningas␣
es001:012	10b	@	-	suuttui␣
es001:012	12	@	-	kovin
es001:012	-	(,)	-	,␣
es001:012	13a	@	-	ja␣
es001:012	15	@	-	hänessä␣
es001:012	14	@	-	syttyi␣
es001:012	13b	@	-	viha
es001:012	-	(.)	-	.␣
