cl001:006	29	ἐν/1722/1714	PREP	ἐν	en
cl001:006	30a	ἀλήθεια/225/0222	DAT.FEM.SG	ἀληθείᾳ	alētheia
cl001:006	30b	-/-/-	-	·	·
cl001:007	1	καθώς/2531/2513	ADV	καθὼς	kathōs
cl001:007	2	μανθάνω/3129&5627/3119	2AOR.ACT.IND.2pl	ἐμάθετε	emathete
cl001:007	3	ἀπό/575/0575	PREP	ἀπὸ	apo
cl001:007	4	Ἐπαφρᾶς/1889/1882	GEN.MASC.SG	Ἐπαφρᾶ	epafra
cl001:007	5	ὁ/3588/3455	ART.GEN.MASC.SG	τοῦ	tū
cl001:007	6	ἀγαπητός/27/0027	ADJ.GEN.MASC.SG	ἀγαπητοῦ	agapētū
cl001:007	7	σύνδουλος/4889/4743	GEN.MASC.SG	συνδούλου	syndūlū
cl001:007	8a	ἐγώ/1473/1476	PRON.GEN.1pl	ἡμῶν	hēmōn
cl001:007	8b	-/-/-	-	,	,
cl001:007	9	ὅς/3739/3607	REL.NOM.SG.MASC	ὅς	hos
cl001:007	10	εἰμί/1510&5719/1504	PRES.ACT.IND.3sg	ἐστιν	estin
cl001:007	11	πιστός/4103/3969	ADJ.NOM.MASC.SG	πιστὸς	pistos
cl001:007	12	ὑπέρ/5228/5066	PREP	ὑπὲρ	hyper
cl001:007	13	σύ/4771/4624	PRON.GEN.2pl	ὑμῶν	hymōn
cl001:007	14	διάκονος/1249/1247	NOM.MASC.SG	διάκονος	diakonos
cl001:007	15	ὁ/3588/3455	ART.GEN.MASC.SG	τοῦ	tū
cl001:007	16a	Χριστός/5547/5383	GEN.MASC.SG	Χριστοῦ	khristū
cl001:007	16b	-/-/-	-	,	,
cl001:008	1	ὁ/3588/3455	ART.NOM.MASC.SG	ὁ	ho
cl001:008	2	καί/2532/2515	CNJ	καὶ	kai
cl001:008	3	δηλόω/1213&5660/1211	AOR.ACT.PART.NOM.MASC.SG	δηλώσας	dēlōsas
cl001:008	4	ἐγώ/1473/1476	PRON.DAT.1pl	ἡμῖν	hēmin
cl001:008	5	ὁ/3588/3455	ART.ACC.FEM.SG	τὴν	tēn
cl001:008	6	σύ/4771/4624	PRON.GEN.2pl	ὑμῶν	hymōn
cl001:008	7	ἀγάπη/26/0026	ACC.FEM.SG	ἀγάπην	agapēn
cl001:008	8	ἐν/1722/1714	PREP	ἐν	en
