mk001:009	10	Ναζαρά/3478/3348	PR	Ναζαρὲτ	nadzaret
mk001:009	11	ὁ/3588/3455	ART.GEN.FEM.SG	τῆς	tēs
mk001:009	12	Γαλιλαία/1056/1054	GEN.FEM.SG	Γαλιλαίας	galilaias
mk001:009	13	καί/2532/2515	CNJ	καὶ	kai
mk001:009	14	βαπτίζω/907&5681/0905	AOR.PASS.IND.3sg	ἐβαπτίσθη	ebaptisthē
mk001:009	15	εἰς/1519/1513	PREP	εἰς	eis
mk001:009	16	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mk001:009	17	Ἰορδάνης/2446/2427	ACC.MASC.SG	Ἰορδάνην	iordanēn
mk001:009	18	ὑπό/5259/5099	PREP	ὑπὸ	hypo
mk001:009	19a	Ἰωάννης/2491/2471	GEN.MASC.SG	Ἰωάνου	iōanū
mk001:009	19b	-/-/-	-	.	.
mk001:010	1	καί/2532/2515	CNJ	καὶ	kai
mk001:010	2	εὐθέως/2112/2100	ADV	εὐθὺς	euthys
mk001:010	3	ἀναβαίνω/305&5723/0307	PRES.ACT.PART.NOM.MASC.SG	ἀναβαίνων	anabainōn
mk001:010	4	ἐκ/1537/1529	PREP	ἐκ	ek
mk001:010	5	ὁ/3588/3455	ART.GEN.NEUT.SG	τοῦ	tū
mk001:010	6	ὕδωρ/5204/5045	GEN.NEUT.SG	ὕδατος	hodatos
mk001:010	7	ὁράω/3708&5627/3577	2AOR.ACT.IND.3sg	εἶδεν	eiden
mk001:010	8	σχίζω/4977&5746/4831	PRES.PASS.PART.ACC.MASC.PL	σχιζομένους	skhidzomenūs
mk001:010	9	ὁ/3588/3455	ART.ACC.MASC.PL	τοὺς	tūs
mk001:010	10	οὐρανός/3772/3640	ACC.MASC.PL	οὐρανοὺς	ūranūs
mk001:010	11	καί/2532/2515	CNJ	καὶ	kai
mk001:010	12	ὁ/3588/3455	ART.ACC.NEUT.SG	τὸ	to
mk001:010	13	πνεῦμα/4151/4015	ACC.NEUT.SG	Πνεῦμα	pneuma
