rv001:005	7	ὁ/3588/3455	ART.NOM.MASC.SG	ὁ	ho
rv001:005	8a	πιστός/4103/3969	ADJ.NOM.MASC.SG	πιστός	pistos
rv001:005	8b	-/-/-	-	,	,
rv001:005	9	ὁ/3588/3455	ART.NOM.MASC.SG	ὁ	ho
rv001:005	10	πρωτότοκος/4416/4276	ADJ.NOM.MASC.SG	πρωτότοκος	prōtotokos
rv001:005	11	ὁ/3588/3455	ART.GEN.MASC.PL	τῶν	tōn
rv001:005	12	νεκρός/3498/3368	ADJ.GEN.MASC.PL	νεκρῶν	nekrōn
rv001:005	13	καί/2532/2515	CNJ	καὶ	kai
rv001:005	14	ὁ/3588/3455	ART.NOM.MASC.SG	ὁ	ho
rv001:005	15	ἄρχων/758/0754	NOM.MASC.SG	ἄρχων	arkhōn
rv001:005	16	ὁ/3588/3455	ART.GEN.MASC.PL	τῶν	tōn
rv001:005	17	βασιλεύς/935/0931	GEN.MASC.PL	βασιλέων	basileōn
rv001:005	18	ὁ/3588/3455	ART.GEN.FEM.SG	τῆς	tēs
rv001:005	19a	γῆ/1093/1092	GEN.FEM.SG	γῆς	gēs
rv001:005	19b	-/-/-	-	.	.
rv001:005	20	ὁ/3588/3455	ART.DAT.MASC.SG	Τῷ	tō
rv001:005	21	ἀγαπάω/25&5723/0025	PRES.ACT.PART.DAT.MASC.SG	ἀγαπῶντι	agapōnti
rv001:005	22	ἐγώ/1473/1476	PRON.ACC.1pl	ἡμᾶς	hēmas
rv001:005	23	καί/2532/2515	CNJ	καὶ	kai
rv001:005	24	λύω/3089&5660/3077	AOR.ACT.PART.DAT.MASC.SG	λύσαντι	lysanti
rv001:005	25	ἐγώ/1473/1476	PRON.ACC.1pl	ἡμᾶς	hēmas
rv001:005	26	ἐκ/1537/1529	PREP	ἐκ	ek
rv001:005	27	ὁ/3588/3455	ART.GEN.FEM.PL	τῶν	tōn
rv001:005	28	ἁμαρτία/266/0265	GEN.FEM.PL	ἁμαρτιῶν	hamartiōn
rv001:005	29	ἐγώ/1473/1476	PRON.GEN.1pl	ἡμῶν	hēmōn
rv001:005	30	ἐν/1722/1714	PREP	ἐν	en
rv001:005	31	ὁ/3588/3455	ART.DAT.NEUT.SG	τῷ	tō
rv001:005	32	αἷμα/129/-	DAT.NEUT.SG	αἵματι	haimati
rv001:005	33a	αὐτός/846/0841	PRON.GEN.MASC.SG	αὐτοῦ	autū
rv001:005	33b	-/-/-	-	,	,
rv001:006	1	καί/2532/2515	CNJ	καὶ	kai
rv001:006	2	ποιέω/4160&5656/4024	AOR.ACT.IND.3sg	ἐποίησεν	epoiēsen
rv001:006	3	ἐγώ/1473/1476	PRON.ACC.1pl	ἡμᾶς	hēmas
rv001:006	4a	βασιλεία/932/0929	ACC.FEM.SG	βασιλείαν	basileian
rv001:006	4b	-/-/-	-	,	,
rv001:006	5	ἱερεύς/2409/2390	ACC.MASC.PL	ἱερεῖς	hiereis
rv001:006	6	ὁ/3588/3455	ART.DAT.MASC.SG	τῷ	tō
rv001:006	7	θεός/2316/2298	DAT.MASC.SG	Θεῷ	theō
rv001:006	8	καί/2532/2515	CNJ	καὶ	kai
rv001:006	9	πατήρ/3962/3827	DAT.MASC.SG	Πατρὶ	patri
rv001:006	10a	αὐτός/846/0841	PRON.GEN.MASC.SG	αὐτοῦ	autū
rv001:006	10b	-/-/-	-	,	,
rv001:006	11	αὐτός/846/0841	PRON.DAT.MASC.SG	αὐτῷ	autō
rv001:006	12	ὁ/3588/3455	ART.NOM.FEM.SG	ἡ	hē
rv001:006	13	δόξα/1391/1393	NOM.FEM.SG	δόξα	doksa
rv001:006	14	καί/2532/2515	CNJ	καὶ	kai
rv001:006	15	ὁ/3588/3455	ART.NOM.NEUT.SG	τὸ	to
rv001:006	16	κράτος/2904/2891	NOM.NEUT.SG	κράτος	kratos
rv001:006	17	εἰς/1519/1513	PREP	εἰς	eis
rv001:006	18	ὁ/3588/3455	ART.ACC.MASC.PL	τοὺς	tūs
rv001:006	19a	αἰών/165/0165	ACC.MASC.PL	αἰῶνας	aiōnas
rv001:006	19b	-/-/-	-	-	-
rv001:006	20	ὁ/3588/3455	ART.GEN.MASC.PL	τῶν	tōn
rv001:006	21a	αἰών/165/0165	GEN.MASC.PL	αἰώνων	aiōnōn
rv001:006	21b	-/-/-	-	·	·
rv001:006	21c	-/-/-	-	-	-
rv001:006	22a	ἀμήν/281/0280	HEB	ἀμήν	amēn
rv001:006	22b	-/-/-	-	.	.
rv001:007	1	ὁράω/3708&5640/3577	2AOR.MID.IMP.2sg	Ἰδοὺ	idū
rv001:007	2	ἔρχομαι/2064&5736/2056	PRES.MID/PASS/DEP.IND.3sg	ἔρχεται	erkhetai
rv001:007	3	μετά/3326/3207	PREP	μετὰ	meta
rv001:007	4	ὁ/3588/3455	ART.GEN.FEM.PL	τῶν	tōn
