ep001:008	6	πᾶς/3956/3821	ADJ.DAT.FEM.SG	πάσῃ	pasē
ep001:008	7	σοφία/4678/4534	DAT.FEM.SG	σοφίᾳ	sofia
ep001:008	8	καί/2532/2515	CNJ	καὶ	kai
ep001:008	9a	φρόνησις/5428/5267	DAT.FEM.SG	φρονήσει	fronēsei
ep001:008	9b	-/-/-	-	-	-
ep001:009	1	γνωρίζω/1107&5660/1106	AOR.ACT.PART.NOM.MASC.SG	γνωρίσας	gnōrisas
ep001:009	2	ἐγώ/1473/1476	PRON.DAT.1pl	ἡμῖν	hēmin
ep001:009	3	ὁ/3588/3455	ART.ACC.NEUT.SG	τὸ	to
ep001:009	4	μυστήριον/3466/3336	ACC.NEUT.SG	μυστήριον	mystērion
ep001:009	5	ὁ/3588/3455	ART.GEN.NEUT.SG	τοῦ	tū
ep001:009	6	θέλημα/2307/2289	GEN.NEUT.SG	θελήματος	thelēmatos
ep001:009	7a	αὐτός/846/0841	PRON.GEN.MASC.SG	αὐτοῦ	autū
ep001:009	7b	-/-/-	-	,	,
ep001:009	8	κατά/2596/2576	PREP	κατὰ	kata
ep001:009	9	ὁ/3588/3455	ART.ACC.FEM.SG	τὴν	tēn
ep001:009	10	εὐδοκία/2107/2095	ACC.FEM.SG	εὐδοκίαν	eudokian
ep001:009	11	αὐτός/846/0841	PRON.GEN.MASC.SG	αὐτοῦ,	autū,
ep001:009	12	ὅς/3739/3607	REL.acc.SG.FEM	ἣν	hēn
ep001:009	13	προτίθημι/4388&5639/4249	2AOR.MID.IND.3sg	προέθετο	proetheto
ep001:009	14	ἐν/1722/1714	PREP	ἐν	en
ep001:009	15	αὐτός/846/0841	PRON.DAT.MASC.SG	αὐτῷ	autō
ep001:010	1	εἰς/1519/1513	PREP	εἰς	eis
ep001:010	2	οἰκονομία/3622/3490	ACC.FEM.SG	οἰκονομίαν	oikonomian
ep001:010	3	ὁ/3588/3455	ART.GEN.NEUT.SG	τοῦ	tū
ep001:010	4	πλήρωμα/4138/4001	GEN.NEUT.SG	πληρώματος	plērōmatos
ep001:010	5	ὁ/3588/3455	ART.GEN.MASC.PL	τῶν	tōn
ep001:010	6a	καιρός/2540/2522	GEN.MASC.PL	καιρῶν	kairōn
ep001:010	6b	-/-/-	-	,	,
ep001:010	7	ἀνακεφαλαιόω/346&5664/0349	AOR.MID/DEP.INF	ἀνακεφαλαιώσασθαι	anakefalaiōsasthai
ep001:010	8	ὁ/3588/3455	ART.ACC.NEUT.PL	τὰ	ta
ep001:010	9	πᾶς/3956/3821	ADJ.ACC.NEUT.PL	πάντα	panta
ep001:010	10	ἐν/1722/1714	PREP	ἐν	en
ep001:010	11	ὁ/3588/3455	ART.DAT.MASC.SG	τῷ	tō
ep001:010	12a	Χριστός/5547/5383	DAT.MASC.SG	Χριστῷ	khristō
