lm001:007	10a	-/m/4247	PREP	מִ֣	mi
lm001:007	10b	-/3117/2955	MASC.PL.CSTR	ימֵי	ymê
lm001:007	11	-/6924a/6643	MASC.SG.ABS	קֶ֑דֶם	qedem
lm001:007	12a	-/b/9082	PREP	בִּ	bi
lm001:007	12b	-/5307/-	INF.CSTR	נְפֹ֧ל	nĕfol
lm001:007	13	-/5971a/5691	MASC.SG.CSTR-3fs	עַמָּ֣הּ	ʿam-āh
lm001:007	14a	-/b/9082	PREP	בְּ	bĕ
lm001:007	14b	-/3027/2889	SG.CSTR	יַד־	yad-
lm001:007	15	-/6862c/6580	MASC.SG.ABS	צָ֗ר	ṣār
lm001:007	16a	-/c/9191	CNJ	וְ	wĕ
lm001:007	16b	-/369/0361	NEG	אֵ֤ין	ʾên
lm001:007	17	-/5826/5553	Qal.MASC.SG.ACT.PCP.ABS	עוֹזֵר֙	ʿowzēr
lm001:007	18	-/l/-	PREP	לָ֔הּ	l-āh
lm001:007	19	-/7200/6915	Qal.3cp.PERF-3fs	רָא֣וּהָ	rāʾū-hā
lm001:007	20	-/6862c/6580	MASC.PL.ABS	צָרִ֔ים	ṣārîm
lm001:007	21	-/7832/7316	Qal.3cp.PERF	שָׂחֲק֖וּ	śāḥăqū
lm001:007	23	-/4868/-	MASC.PL.CSTR-3fs	מִשְׁבַּתֶּֽהָ׃	mišĕbat-ehā
lm001:007	24=í	-/-	-	ס	s
lm001:008	1	-/2399/-	MASC.SG.ABS	חֵ֤טְא	ḥēṭĕʾ
lm001:008	2	-/2398/2273	Qal.3fs.PERF	חָֽטְאָה֙	ḥāṭĕʾāh
lm001:008	3	-/3389/3202	PR	יְר֣וּשָׁלִַ֔ם	yĕrūšālaim
lm001:008	4	-/5921a/-	PREP	עַל־	ʿal-
lm001:008	5	-/3651c/3452	DEM	כֵּ֖ן	kēn
lm001:008	6a	-/l/3599	PREP	לְ	lĕ
lm001:008	6b	-/5206/-	FEM.SG.ABS	נִידָ֣ה	nîdāh
lm001:008	7	-/1961/1861	Qal.3fs.PERF	הָיָ֑תָה	hāyātāh
lm001:008	8	-/3605/3409	MASC.SG.CSTR	כָּֽל־	kāl-
lm001:008	9	-/3513/3323	PI.MASC.PL.ACT.PCP.CSTR-3fs	מְכַבְּדֶ֤יהָ	mĕḵabĕdê-hā
lm001:008	10	-/2107/2040	Hiph.3cp.PERF-3fs	הִזִּיל֨וּהָ֙	hizîlū-hā
lm001:008	11	-/3588a/-	CNJ	כִּי־	kî-
lm001:008	12	-/7200/6915	Qal.3cp.PERF	רָא֣וּ	rāʾū
lm001:008	13	-/6172/-	FEM.SG.CSTR-3fs	עֶרְוָתָ֔הּ	ʿerĕwāt-āh
lm001:008	14	-/1571/-	AFF	גַּם־	gam-
lm001:008	15	-/1931/1858	PRON	הִ֥יא	hîʾ
lm001:008	16	-/584/0571	Niph.3fs.PERF	נֶאֶנְחָ֖ה	neʾenĕḥāh
lm001:008	17a	-/c/-	CNJ	וַ	wa
lm001:008	17b	-/7725/-	3fs.SEQ.IMPF	תָּ֥שָׁב	tāšāb
lm001:008	18	-/268/0263	MASC.SG.ABS	אָחֽוֹר׃	ʾāḥowr
lm001:008	19=í	-/-	-	ס	s
lm001:009	1	-/2932/-	FEM.SG.CSTR-3fs	טֻמְאָתָ֣הּ	ṭumĕʾāt-āh
lm001:009	2a	-/b/9082	PREP	בְּ	bĕ
lm001:009	2b	-/7757/7571	MASC.PL.CSTR-3fs	שׁוּלֶ֗יהָ	šūlê-hā
lm001:009	3	-/3808/3600	NEG	לֹ֤א	loʾ
lm001:009	4	-/2142/2030	Qal.3fs.PERF	זָֽכְרָה֙	zāḵĕrāh
lm001:009	5	-/319/0312	FEM.SG.CSTR-3fs	אַחֲרִיתָ֔הּ	ʾaḥărît-āh
lm001:009	6a	-/c/-	CNJ	וַ	wa
lm001:009	6b	-/3381/3193	3fs.SEQ.IMPF	תֵּ֣רֶד	tēred
lm001:009	7	-/6382/6104	MASC.PL.ABS	פְּלָאִ֔ים	pĕlāʾîm
lm001:009	8	-/369/0361	NEG	אֵ֥ין	ʾên
lm001:009	9	-/5162/4909	PI.MASC.SG.ACT.PCP.ABS	מְנַחֵ֖ם	mĕnaḥēm
lm001:009	10	-/l/-	PREP	לָ֑הּ	l-āh
lm001:009	11	-/7200/-	Qal.2ms.IMP	רְאֵ֤ה	rĕʾēh
lm001:009	12	-/3068/2923	PR	יְהוָה֙	yĕhwāh
lm001:009	13	-/853/0811	OBJ	אֶת־	ʾet-
lm001:009	14	-/6040/5758	MASC.SG.CSTR-1cs	עָנְיִ֔י	ʿānĕy-î
lm001:009	15	-/3588a/3392	CNJ	כִּ֥י	kî
lm001:009	16	-/1431/-	Hiph.3ms.PERF	הִגְדִּ֖יל	higĕdîl
lm001:009	17	-/341/0331	Qal.MASC.SG.ACT.PCP.ABS	אוֹיֵֽב׃	ʾowyēb
lm001:009	18=í	-/-	-	ס	s
lm001:010	1	-/3027/2889	SG.CSTR-3ms	יָדוֹ֙	yād-ow
lm001:010	2	-/6566/6282	Qal.3ms.PERF	פָּ֣רַשׂ	pāraś
lm001:010	3	-/6862c/6580	MASC.SG.ABS	צָ֔ר	ṣār
lm001:010	4	-/5921a/5649	PREP	עַ֖ל	ʿal
lm001:010	5	-/3605/3409	MASC.SG.CSTR	כָּל־	kāl-
lm001:010	6	-/4261/-	MASC.PL.CSTR-3fs	מַחֲמַדֶּ֑יהָ	maḥămadê-hā
lm001:010	7	-/3588a/-	CNJ	כִּֽי־	kî-
lm001:010	8	-/7200/6915	Qal.3fs.PERF	רָאֲתָ֤ה	rāʾătāh
lm001:010	9	-/1471a/1400	MASC.PL.ABS	גוֹיִם֙	gowyim
lm001:010	10	-/935/0886	Qal.3cp.PERF	בָּ֣אוּ	bāʾū
lm001:010	11	-/4720/-	MASC.SG.CSTR-3fs	מִקְדָּשָׁ֔הּ	miqĕdāš-āh
lm001:010	12	-/834a/0799	REL	אֲשֶׁ֣ר	ʾăšer
lm001:010	13	-/6680/6391	PI.2ms.PERF	צִוִּ֔יתָה	ṣiūîtāh
lm001:010	14	-/3808/-	NEG	לֹא־	loʾ-
lm001:010	15	-/935/0886	Qal.3mp.IMPF	יָבֹ֥אוּ	yāboʾū
lm001:010	16a	-/b/9082	PREP	בַ	ba
lm001:010	16b	-/6951/6667	MASC.SG.ABS	קָּהָ֖ל	qāhāl
lm001:010	17	-/l/-	PREP	לָֽךְ׃	l-āḵ
lm001:010	18=í	-/-	-	ס	s
lm001:011	1	-/3605/3409	MASC.SG.CSTR	כָּל־	kāl-
lm001:011	2	-/5971a/5691	MASC.SG.CSTR-3fs	עַמָּ֤הּ	ʿam-āh
lm001:011	3	-/584/0571	-	נֶאֱנָחִים֙	neʾĕnāḥîm
lm001:011	4	-/1245/1187	PI.MASC.PL.ACT.PCP.ABS	מְבַקְּשִׁ֣ים	mĕbaqĕšîm
lm001:011	5	-/3899/3686	SG.ABS	לֶ֔חֶם	leḥem
lm001:011	6	-/5414/5143	Qal.3cp.PERF	נָתְנ֧וּ	nātĕnū
lm001:011	7=í	-/-/-	-	מ‬חֲמׄודֵּיהֶם	maḥămowdê-hem
lm001:011	9a	-/b/9082	PREP	בְּ	bĕ
lm001:011	9b	-/400/0387	MASC.SG.ABS	אֹ֖כֶל	ʾoḵel
lm001:011	10a	-/l/3599	PREP	לְ	lĕ
lm001:011	10b	-/7725/-	INF.CSTR	הָשִׁ֣יב	hāšîb
lm001:011	11	-/5315/5053	SG.ABS	נָ֑פֶשׁ	nāfeš
lm001:011	12	-/7200/-	Qal.2ms.IMP	רְאֵ֤ה	rĕʾēh
lm001:011	13	-/3068/2923	PR	יְהוָה֙	yĕhwāh
lm001:011	14a	-/c/9191	CNJ	וְֽ	wĕ
lm001:011	14b	-/5027/4785	2ms.IMP-PAR	הַבִּ֔יטָה	habîṭ-āh
lm001:011	15	-/3588a/3392	CNJ	כִּ֥י	kî
lm001:011	16	-/1961/1861	Qal.1cs.PERF	הָיִ֖יתִי	hāyîtî
lm001:011	17	-/2151b/2040	Qal.FEM.SG.ACT.PCP.ABS	זוֹלֵלָֽה׃	zowlēlāh
lm001:011	18=í	-/-	-	ס	s
lm001:012	1	-/3808/3600	NEG	ל֣וֹא	lowʾ
lm001:012	2	-/413/0403	PREP	אֲלֵיכֶם֮	ʾălê-ḵem
lm001:012	3	-/3605/3409	MASC.SG.CSTR	כָּל־	kāl-
lm001:012	4	-/5674a/5401	Qal.MASC.PL.ACT.PCP.CSTR	עֹ֣בְרֵי	ʿobĕrê
lm001:012	5	-/1870/-	SG.ABS	דֶרֶךְ֒	dereḵ
lm001:012	6	-/5027/4785	Hiph.2mp.IMP	הַבִּ֣יטוּ	habîṭū
lm001:012	7a	-/c/-	CNJ	וּ	ū
lm001:012	7b	-/7200/6915	2mp.IMP	רְא֗וּ	rĕʾū
lm001:012	8	-/518a/-	CNJ	אִם־	ʾim-
lm001:012	9	-/3426/3245	DEM	יֵ֤שׁ	yēš
lm001:012	10	-/4341/-	MASC.SG.ABS	מַכְאוֹב֙	maḵĕʾowb
lm001:012	11a	-/k/-	PREP	כְּ	kĕ
lm001:012	11b	-/4341/-	MASC.SG.CSTR-1cs	מַכְאֹבִ֔י	maḵĕʾob-î
lm001:012	12	-/834a/0799	REL	אֲשֶׁ֥ר	ʾăšer
lm001:012	13	-/5953a/5675	-	עוֹלַ֖ל	ʿowlal
lm001:012	14	-/l/-	PREP	לִ֑י	l-î
lm001:012	15	-/834a/0799	REL	אֲשֶׁר֙	ʾăšer
lm001:012	16	-/3013/2877	Hiph.3ms.PERF	הוֹגָ֣ה	howgāh
lm001:012	17	-/3068/2923	PR	יְהוָ֔ה	yĕhwāh
lm001:012	18a	-/b/9082	PREP	בְּ	bĕ
